steps,return
40,719.3330999999996
41,854.1948000000002
42,692.4056499999997
43,668.3642
44,706.2128999999995
45,718.1610000000001
46,679.6559
47,734.97985
48,676.3085499999999
49,647.0962999999996
50,648.1176000000003
51,645.3854999999998
52,652.4589000000001
53,661.0139999999999
54,717.5696500000001
55,729.5669
56,655.4657999999997
57,639.2881499999999
58,678.2918500000003
59,690.7143999999998
60,624.0488499999999
61,683.3621999999999
62,742.8977499999999
63,679.7448
64,677.3752999999997
65,682.6066000000001
66,761.4376999999998
67,753.3327999999996
68,693.1629500000001
69,744.7448999999999
70,806.7734
71,743.8625999999999
72,718.9307500000001
73,782.6858999999997
74,750.6459500000001
75,688.4820000000002
76,704.9754500000004
77,705.8601999999996
78,702.1971000000003
79,688.4908500000004
80,718.7706000000001
81,698.1584000000001
82,699.0126499999998
83,688.2049000000002
84,696.6106
85,724.9228999999996
86,669.0385999999993
87,652.1243000000005
88,671.5765500000003
89,671.2802999999999
90,664.4950500000002
91,629.4580000000001
92,659.3905999999998
93,651.1059499999997
94,679.5832500000004
95,661.2871500000006
96,664.0174999999999
97,657.1916999999994
98,667.8673500000002
99,717.8689999999999
100,674.2541499999998
101,700.7776
102,659.9619500000003
103,657.07215
104,671.2956999999994
105,708.1262500000009
106,760.8789499999998
107,672.785
108,639.94345
109,641.1765999999994
110,647.0247499999992
111,659.0372500000003
112,623.8439500000002
113,630.6900000000003
114,654.2577999999999
115,660.4204
116,670.1727000000003
117,664.8890499999999
118,686.89335
119,661.6404
120,680.4583999999996
121,684.8323
122,650.7707
